description,prob_type
"Assigned to Sergio  INVESTIGATE AND MAKE NECESSARY REPAIRS TO THE VENTILATION FAN IN THE DINING ROOM - IT IS MAKING A LOT OF NOISE 10/1/14 SVR, did not detect or find cause of any noise at location. however preventive Maintenance needs to be done on Uni-vents and exhaust fans.",HVAC
"RESET BREAKER FOR OUTLETS IN LOBBY, CHECKED FOR SHORTS",Electrical
CHECKED & DRAINED CONDENSATE FROM ALL RADIATORS,HVAC
"REPLACED SPUD SEAL IN TOILET, NEED TO REPLACE TOILET",Plumbing
"REMOVED TRAP FROM SINK, CLEANED OUT DEBRIS & DRAIN, REINSTALLED",Plumbing
CHECKED OUTLETS FOR SHORTS & RESET BREAKER,Electrical
"REMOVED VALVE FROM SINK, CLEANED OUT SCALE, REINSTALLED VALVE",Plumbing
"REPAIRED LIGHT IN STAIRWAY, REPLACED LIGHTS, CHECKED FOR SHORTS",Electrical
"REMOVED VALVE FROM SINK, CLEANED OUT SCALE, REINSTALLED VALVE",Plumbing
"REPLACED POLE LIGHTS,CHECKED FOR SHORTS, RESET BREAKER",Electrical
"REMOVED DIAPHRAM FROM TOILET, CLEANED OUT  SCALE & TIGHTENED SEAT, REINSTALLED DIAPHRAM",Plumbing
"Assigned to Mitchell Plumbing  P518386

sump pump in basement store room not working and water coming out of top. pump located in room with double doors with 0999 on door. 
contact Charles Claridy",Plumbing
"Repair toilet in Officer's Restroom, tank not filling with water. Req. 67927 Officer in charge 410-396-0214  Anne Braun",Plumbing
Install support clips on power poles in Room 221. Req. 67932 Capt. Blake 410-396-8021  Terry Howell,Electrical
Lights need to be replaced on the 6th floor near the 2nd elevator.,Electrical
,Electrical
"Assigned to Fresh Air P526023

please have hvac person check the climate control thermostats in the admin office at the northern district. The majors, captains and clerk areas are currnently 62 degrees where the rest of the building is 74.. if there is a way to adjust thermostats or valves in ceiling to adjust air flow please send the repair persons to fix same. several complaints from clerks and major at the district.
10/1/14 SVR, Work was referred to J.F. Fisher to complete .",HVAC
"Assigned to Fresh Air  P526023
INVESTIGATE AND MAKE NECESSARY REPAIRS TO THE WINDOW AIR CONDITIONERS IN THE HALLWAY NEAR GIRLS BATHROOM",HVAC
,Electrical
,Plumbing
repair light near elevator,Electrical
ASSESSED & STARTED INSTALLATION OF DEDICATED LINE & RECEPTACLE,Electrical
"REMOVED DIAPHRAM FROM URINAL, CLEANED OUT SCALE, REINSTALLED",Plumbing
"REPAIRED OUTLET IN LADIES ROOM, CHECKED FOR SHORTS, RESET BREAKER",Electrical
CHECKED FOR LEAKS & DAMAGED WIRES,Plumbing
"REPLACED OUTLET, CHECKED FOR SHORTS, RESET BREAKER",Electrical
"URGENT REQUEST  Need an electrician to come out. Sparks was coming out the ceiling, then a big boom, and a fire. The fire department was called out and put the fire. The reason that the fire and sparks occur was because a bird made a nest in the ceiling where the live wires were located.  Contact person: Demetric Farmer (410) 396 - 2706",Electrical
Toilet on 3rd floor recycles continuously without stopping. Investigate and fix.,Plumbing
,Electrical
"Assigned to Denver Elek  P522937
Repair leaking oil pressure gauge on boiler and leaking joints on oil lines in basement.

Req. 67929
Officer in charge
410-396-0446
Wycliffe Eccles

Denver-Elek.
10/1/14 SVR Job still in progress.",HVAC
"There is a leaking pipe in Sgt.'s Office on the first floor.  The ceiling tile is about to fall in - a steady drip from the pipe

Contact Person: Ms. Williams 410-545-6854
Assign to Fresh Air- P526023",Plumbing
,Plumbing
HVAC not heating the building properly. Frank Riggio-Preston 410-659-7066 443-326-7085,HVAC
,Plumbing
,HVAC
,HVAC
,HVAC
,HVAC
"Lights out in Lt. Brooks Office, located in the Crossing Guard Section on the 2nd Floor DOT - Safety Division.  Any questions, Contact Ms. Williams, 410 545-6854.",Electrical
Replace approx. 20 burnt out recessed light bulbs in the Annex lobby.  Contact: Doug Kerr 2575,Electrical
REPLACED FLANGE & WAX RING ON TOILET,Plumbing
REPLACED BLOWN OUT LIGHTS IN ROOM 7,Electrical
REPLACED BLOWN LIGHTS & CHECKED ALL MACHINERY,Electrical
REPLACED SINK IN KITCHEN,Plumbing
CHECKED UNIT #9,HVAC
REPLACED BALLAST & LIGHT IN STOCK ROOM & HALLWAY,Electrical
AUGERED SINK IN KITCHENETTE,Plumbing
CHECKED AIR UNITS,HVAC
Provide labor and materials to make repairs lights out.,Electrical
TRACED OUTAGE OF LIGHTS IN MAIL & BREAK ROOMS,Electrical
LOOKED FOR LEAKS IN CEILING ON VARIOUS FLOORS & REPLACED WET CEILING TILES,Plumbing
ASSISTED WITH THE INSTALLATION OF A DEDICATED LINE & QUAD,Electrical
unclogged toilet,Plumbing
REPLACED OLD FIXTURE,Electrical
ASSISTED ELECTRICIANS RUNNING NEW ELETRICAL LINE,Electrical
SINK STRAINER ASSEMBLY,Plumbing
REPAIRED LIGHTING,Electrical
RESET BREAKER IN OFFICE,Electrical
UNCLOGGED SINK IN LUNCH ROOM,Plumbing
RESTORED POWER TO LIGHTS,Electrical
AUGERED SINK IN BREAK ROOM,Plumbing
CHANGED LIGHTS & VACUUMMED (3) ROOMS,Electrical
REPAIRED LIGHTING,Electrical
REPLACED LIGHTS IN BACK HALLWAY & PLACED MICE PADS DOWN IN ROOM 6,Electrical
"Two of the the three urinals, with the automatic flush are not working in the mens room, located on the first floor, beside the Police Entrance Only door, at the Northwest District. The two urinals that are not working are the two on either end, the middle one is still functioning.                                                                                          contact person: P/O Tom Gause                                                                                                                (443)677-6704",Plumbing
The overhead three fluorescent lights in the RMS office located on the second floor of the Northwest District need to have the flourescent tubes replaced.                                                              contact person: P/O Tom Gause                                                                                     (443)677-6704,Electrical
"On the 4th floor, in one of the office power is out, can someone come and fix it.   thank you",Electrical
,HVAC
8 of the 12 lights for canopy at fuel island are out this is the seconcd rquest for this repair contact Mitch 410 396 9512,Electrical
REPAIRED LIGHTING,Electrical
CLEANED VENT,HVAC
Clear clogged sink in womens bathroom in hallway by communications.  contact: Doug Kerr 410-396-2575,Plumbing
,Electrical
,Electrical
,Electrical
replace lights in office.,Electrical
CHANGED LIGHTS & REPLACED BALLAST,Electrical
RESET BREAKER,Electrical
REPLACED LIGHTING,Electrical
"9/26/14 SVR,  Work on hold waiting for asbestos to be remove from drain line. removal should be done on 9/30/14.

REFERRED TO MITCHELL PLUMBING
P518386
two units leaking in room 204 in property location area
contact Dawn Flannery
9/24/14  SVR, Asbestos needs to be remove of drain line so that cleaning can be 
completed.
9/23/14 JCI investigated water leak from fan coil unit. need plumber referred to Michell Plumbing. CONTACT SERGIO ROACH AT 443-463-5806.
10/15/14 SVR,  Work will start on 10/16/14.",HVAC
,Plumbing
,Plumbing
,HVAC
,HVAC
,Electrical
The admin office located on the first floor of the Northwest District is in need of at least threeadditional electrical outlets that need to be installed. There are only a couple of outlets that are usable for the entire office putting a strain and creating a hazard with the euipment being used in the office. The tree additional outlets would eliminate the need for all the surge protectors hooked together that are needed to maitain the daily operation of the admin office.                                                                                                 contact person: P/O Tom Gause                                                                                                                         (443)677-6704,Electrical
"We are requesting 10 new drains with screens to be installed in our sinks.  They currently do not have any stops/plugs in them, students are able to freely put things in the drain which is causing clogs.  Thank you! Heather Garland ext. 24",Plumbing
girls bathroom in classroom 5 sink and toilet is clogged.,Plumbing
,HVAC
UNCLOGGED (2) SINKS,Plumbing
CHECKED BELT ON UNIT #7,HVAC
"CHANGED LIGHTS & REPLACED BALLAST IN VARIOUS AREAS OF THE BLDG, ALSO REPAIRED (3) TOILET SEATS",Electrical
UNCLOGGED SINK IN LUNCH ROOM & RESET GARBAGE DISPOSAL,Plumbing
CHANGE LIGHTS IN OFFICE,Electrical
REBUILT URINAL & TIGHENTED (3) TOILET SEATS,Plumbing
REBUILT TOILET & REPAIRED (2) TOILET SEATS,Plumbing
"ASSIGNED TO J. F. FISCHER
P526022
The number 2 refrigerator in the Ashburton Laboratory is leaking water. Please contact Savita Bagel at 410-396-0150",HVAC
"Assigned to Fresh Air P526023
Please provide labor & materials to repair the 2 leaking radiators at Druid's Dental Clinic
Angelic Sullivan  (410-396-0841)",HVAC
"ASSIGNED TO MITCHELL PLUMBING

Investigate all drains in station to locate source of odor.
Req. 67917
Officer in charge
410-396-9350

Completed on 9/25/14

Ferdinand Delara/Wycliffe Eccles

Mitchell Plumbing.      Mitchell not notified.",Plumbing
"ASSIGNED TO FRESH AIR
P526023

Repair leaking valve for AHU.
Req. 67919
Officer in charge
410-396-1785

Ferdinand DeLara/Wycliffe Eccles

Fresh Air.     Fresh Air not notified.",HVAC
"PROVIDE LABOR AND MATERIAL TO CHEMICALLY TREAT THE HEATING/COOLING PIPE SYSTEMS.  SERVICE TO START 10-1-2014.

ASSIGNED TO J F FISCHER, INC./CHEMTREAT COMPANY.  USE P526184.",Plumbing
Lights in the Tact lunch room will not come all the way on.  Contact: Officer Edgar 410-396-2442,Electrical
,Plumbing
,HVAC
,Electrical
,Plumbing
,Plumbing
,Plumbing
,Plumbing
,Plumbing
,Plumbing
ASSIGNED TO R. F. WARDER P526183  Provide service to INTERPURE water filter unit. Req. 67915 Officer in charge completed 9/22 410-396-0413  Ferdinand DeLara/Wycliffe Eccles  R.F. Warder notified.,Plumbing
,HVAC
,HVAC
"A sink in the girls bathroom beside the gym is draining very slowly and we are unable to use it because we don't want the students overflowing it.  Also, Do you have a sink screen (one that is more permanent than the kind you just lay over the drain)  We are trying to prevent clogs in the art room sink and the kids are removing the screens.  Thank you!  please contact Heather Garland 410-235-6295 ext 24",Plumbing
Replace 30- 30 W light bulbs  Will Carrington,Electrical
,Plumbing
UNCLOGGED SINK,Plumbing
CHECKED BELT ON AIR UNIT #7,HVAC
Change various blown lightbulbs in building--13 watt cluster chandalier bulbs---24 bulbs  michael beane,Electrical
RESET BREAKER,Electrical
CHANGED LIGHTS IN ADMINISTRATIVE OFFICE,Electrical
CHANGED LIGHTS IN OFFICE,Electrical
CHECKED AIR UNITS & SUMP PUMP,HVAC
Repair electrical outlet for Medic shoreline. Req. 67910 Officer in charge 410-396-0413  Anne Braun,Electrical
Repair leaking faucet on Kitchen sink. Req. 67912 Officer in charge 410-396-6231  Anne Braun,Plumbing
Replace broken toilet seats in Main Restroom. Req. 67914 Officer in charge 410-396-0253  Anne Braun,Plumbing
Toilet in Loch Raven maintenance facility is clogged.  Contact Dave Corbin at 410-545-7442 or 443-621-8533.,Plumbing
"2 of the toilets on the first floor, male officers bathroom constantly back up and the contents spill out onto the floor.",Plumbing
Mens room outside of Homicide has a urinal that is clogged.  Contact Ray Branch 410-396-2252,Plumbing
"ASSIGNED TO FRED

Please provide labor & materials to replace all the air filters.",HVAC
"Investigate source of odor coming from Air Handling Unit.      
                                                                                        
Req. 67907                                                                       
Officer in charge
410-396-9350

Ferdinand DeLara

Assigned to General Services HVAC.

9/19/14 RLF,  found no odor coming from A.H.U. # 1,2,or 3 . floor drain in Capt. office has no seal trap in floor. spoke with Richard Flury and he will contact Michell Plumbling.
10/1/14 SVR, Per Wycliffe E. work has been complete.",HVAC
"Chilled water pipes insulated to unit #32 -- room 118.  Remove about twelve (12) linear footage of foam or closed-cell insulation on chilled-water pipes.  Existing piping insulation that are wet and/or sweating shall be removed.  Provide a minimum of 1-inch fiberglass insulation with vapour retarder jacketing.  Apply vapour-retarder mastic to the joint tapes and fiberglass piping insulation to maintain vapour tightness on piping insualtion.  Coordinate visit and repair work with Mike Beane.
- Micheal Beane
As discussed with Albert, this work order is being assigned to the Environmental Shop for the insulation abatement and re-insulation of chilled water pipes.  C & W will view job on 10/16/14 and schedule work.",HVAC
The door from the Garage to the Mezzanine level is stuck in the open position  All of my efforts to reset the door have failed.  Contact Ray Branch  410-396-2252,Electrical
"need a quote for replacing a electrical panel box on the 3rd floor Fiscal Area,.",Electrical
,Electrical
"ASSIGNED TO J. F. FISCHER
P526022

REPAIRS TO SUMP PUMP IN RADIO ROOM

COMPLETED",HVAC
,Plumbing
ASSIGNED TO R. F. WARDER P526183  Replace leaking faucet for Kitchen sink. Req. 67905 Officer in charge 410-396-6231  Ferdinand DeLara  R.F. Warder notified. COMPLETED 9/18,Plumbing
,HVAC
,HVAC
"classroom 1 light fixture is down, classroom 5 there are 4 lights out, the supply room has 2 lights out.",Electrical
"classroom 2,3,4 have lights out",Electrical
MET WITH IT TECH TO ASSESS ROUTE FOR INSTALLATION OF DATA CABLING FROM ONE ROOM TO ANOTHER,Electrical
WALK THROUGH WITH IT TECH TO INSTALL CABLING FROMM ONE OFFICE TO ANOTHER,Electrical
"REPAIRED OUTLET, CHECKED WIRES FOR SHORTS, RESET BREAKER",Electrical
"REPLACED LIGHTS, CHECKED FOR SHORTS, RESET BREAKER",Electrical
CLEANED EXHAUST FAN INLET OF DUST & DEBRIS,HVAC
"CHECKED SPACE & UNIT, MADE ADJUSTMENTS TO UNIT SHUT DOWN UNTIL TEMP COULD CATCH UP THEN START",HVAC
Toilet in mens room in annex lobby will not flush.  Contact: Ray Branch,Plumbing
Please provide labor and materials to replace the light bulbs in the lab in the family planning clinic.,Electrical
"Boiler failed inspection and needs the following repairs: (1) Not equipped with a low-water fuel supply shut off, (2) Low water cutoff doesn't have means to be tested without draining entire system, (3) Doesn't have a means of disconnecting all electrical power to the boiler and controls, (4) Doesn't have an electrical shutdown switch outside of the boiler room, (5) Does not meet the jurisdictional requirement for temperature operated controls, and (6) Solenoid cover plate is missing to circulating pump. If you have any additional questions or concerns you can contact Scott Rampmeyer @ 410-908-4804 cell or 410-545-1651 office
This is assigned to Fresh Air Company to perform all corrective repair work covered under the parts-and-labor installation warranty.  P526023.
10/1/14 SVR, spoke to Rodney and job still in progress may be done by 10/3/14.",HVAC
,Electrical
,Electrical
,HVAC
"Replace burnt out light bulbs on the 5th floor commissioners office area and the elevator lobby, hallway leading from commissioners office to chief of patrol, and reception area.  Contact: Myrna 410-396-2020",Electrical
Provide labor and materials to replace or repair ada toilet,Plumbing
"Please provide materials ( 1 1/2"" trap assembly) to repair sink in women's restroom",Plumbing
Please provide materials to repair sink trap assembly Admin. area,Plumbing
REPLACED BLOWN LIGHTS & BALLASTS,Electrical
exit sign in exercise room need to be repair or replace,Electrical
"TIGHTENED TOILET SEAT IN MEN'S ROOM, ALSO CHECKED LADIES RESTROOM",Plumbing
INSTALLED TEMPORARY FAUCET,Plumbing
FIXED TOILET & MOP SINK,Plumbing
CLEANEDED OUT SUMP PUMP WELL & INTAKE,Plumbing
UNCLOGGED SINK IN MEN'S RESTROOM,Plumbing
"REPLACED ""S"" TRAP IN DOUBLE SINK TO REPAIR LEAKING SINK",Plumbing
MET WITH ENGINEERS & JOHN CARTER FOR WALK THROUGH INSPECTION & ACCESS NEW COURTROOM AREAS,Electrical
REBUILT HANDICAP TOILET IN MEN'S ROOM,Plumbing
UNCLOGGED TOILET IN LADIES RESTROOM,Plumbing
CHECKED FOR WATER FROM TOILET OVERHEAD (NO WATER),Plumbing
"REPLACED DIAPHRAM IN TOILET, TIGHTENED SEAT & ADJUSTED WATER",Plumbing
REPLACED POLE LIGHT ON DOORWAY,Electrical
REPLACED SPUD SEAL ON TOILET & TIGHTENED SEAT,Plumbing
MET WITH ELECTRICIAN TO INSTALL DEDICATED SWITCH IN ROOM 507,Electrical
Please provide labor and materials to replace light bulbs located behind the swing doors on the first floor.,Electrical
"Assigned to Mitchell Plumbing  P518386 
Pump out septic holding tank at Loch Raven Dam maintenance facility.  Contact Dave Corbin at 410-545-7442 (office) or 443-621-8533 (cell)

completed",Plumbing
"12/10/14 SERGIO, spoke to Michael Fields work has been complete no more leak. Creating new work order to repair/replace handle for sinks.

Assigned to R.F.Warder  P526183
the cell block bathroom at the northern district sink will not turn off and is continually running. no way to turn water off, valve is sticking. please send the plumber to check.",Plumbing
,HVAC
REPAIRED TOILET SEAT & ADJUSTED WATER LEVEL,Plumbing
REPLACED POLE LIGHT ON WALKWAY,Electrical
UNCLOGGED TOILET & TIGHTENED SEAT,Plumbing
REPAIRED LIGHT SWITCH FOR SPOT LIGHT,Electrical
REPAIRED LIGHTING,Electrical
CHECKED RESTROOM FOR LEAK FROM CEILING,Plumbing
REWRAPPED PIPES,Plumbing
REPLACED LIGHT & BALLAST,Electrical
"Install covers on electrical boxes in the following locations, exterior wall near front door, Medic Bay overhang, entrance to basement in stairwell, and bottom of stairs where clock was. Req. 67800 Officer in charge 410-396-1235  Anne Braun Anne",Electrical
"Repair toilet in Men's Room, middle stall, water will not shutoff.  Repair leaking pipe in Boiler Room. Req. 67901 R. Flury 410-396-1785  Anne Braun",Plumbing
"Per Loretta Townes (410-354-3800), BATHROOM TOILETS ARE STOPPED UP ON DAYBREAK",Plumbing
Visitor Center Men's Room urinal is backed up and overflowed. We already tried the plunger so you need to bring a snake. Urinal clogged Frank Riggio-Preston 410-659-7066 Jennifer Anderson 410-659-7319,Plumbing
"Assigned to Mitchell Plumbing  P518386

Clear blockage in sanitary main, sewage backing up in station.
Req. 67798
Officer in charge
410-396-1226

Wycliffe Eccles

Mitchell Plumbing notified.    Joe responded.
completed 9/16",Plumbing
"Assigned to J.F.Fischer  P518386

Repair AC unit for Recording Room, unit shutting off.
Req. 67790
Officer in charge
410-396-9982

Wycliffe Eccles

J.F. Fischer notified.    Jason Comegys responding.
10/1/14 SVR, Work was completed as of 9/30/14",HVAC
